00044741,"無法連上《戰地風雲》的伺服器，無法取得伺服器資訊。請稍後再試。"
001A0E40,"開始計時"
003F6C87,"地圖循環名稱太短"
0045B78D,"逃脫"
004B9C7C,"返回戰區"
00689864,"[BF1]你下次進入部署畫面時，將會選擇工程兵種。 | [BF4]你下次進入部署畫面時，將已選擇工程裝備。"
006C842D,"[BF1]剎車，持續按住可倒退 | [BF4]剎車，按住可倒退"
0073C04B,"使用AH-6J小鳥擊殺500人"
00742798,"左撇子"
00792A4D,"AH-6J小鳥大師狗牌"
00835FB8,"代表蒙古的狗牌"
0088C9BA,"蒙古"
008F3C8C,"[BF1]離開 3D 視野 | [BF4]離開3D視野"
0090B0E6,"STAGE MANAGER"
00A8A882,"友軍砲火"
00A8A8A3,"友軍砲火"
00ADCB6D,"團隊死鬥"
00C36BB7,"DICE ADDITIONAL SINGLE-PLAYER MISSION DESIGNERS"
00CC2795,"[BF1]5.8x21mm DAP-92 | [BF4]5.8x21 DAP-92"
00D6FB41,"復仇"
00E27BF7,"目前遊戲模式下的這張地圖沒有這個據點。"
00E550EE,"我的戰士"
00F82F6E,"按兩下部署"
00FD6142,"[BF1]完成小任務即可解開此狗牌 | [BF4]完成小任務即可解開這種狗牌"
0102CB44,"初級地面載具狗牌"
0106ACCF,"[BF1]RPK-74M戰鬥包 | [BF4]RPK戰鬥包"
01176587,"代表幾內亞的狗牌"
011CCF89,"幾內亞"
01225289,"AUDIO ENGINEERS"
012C2D14,"代表瑞士的狗牌"
01319716,"瑞士"
01339A37,"Slim Jim青銅戰鬥包"
013D80CA,"目標"
01566636,"控制第一人稱縮放的武器顯示是否會變模糊"
015EE5C8,"在伺服器上閒置超過此秒數的玩家會被踢出。"
015F6625,"[BF1]左撇子替代配置 | [BF4]左撇子老手"
0162529E,"[BF1]小隊長在遊戲中可以向小隊隊員下命令。小隊長也可以接受或請求來自指揮官的命令。欲在遊戲中透過快速訊息下令，請按住： | [BF4]小隊長在遊戲中可以向小隊隊員下命令。小隊長也可以接受或請求來自指揮官的命令。欲在遊戲中透過通訊選單下令，請按住："
0177CC97,"向左瞄準"
019A66D8,"APP MENU"
019BE7C7,"ADDITIONAL SOFTWARE ENGINEER"
019ED9B0,"VLADIMIR"
01A62E9E,"透過戰鬥包取得"
01A8B37A,"縮放視野以更輕鬆的從遠距索敵並消滅目標。"
01AB98A0,"戰鬥包1狗牌"
01BC400F,"內部渲染解析度，100% = 透過超級取樣來取得更佳的品質。"
01CA38BF,"[BF1]上將 V | [BF4]上將V"
01CE3FC8,"EADP SYSTEMS TEST"
01D3492E,"[BF1]按鍵 22 | [BF4]按鈕22"
01D3492F,"[BF1]按鍵 23 | [BF4]按鈕23"
01D34930,"[BF1]按鍵 24 | [BF4]按鈕24"
01D34931,"[BF1]按鍵 25 | [BF4]按鈕25"
01D34932,"[BF1]按鍵 26 | [BF4]按鈕26"
01D34933,"[BF1]按鍵 27 | [BF4]按鈕27"
01D34934,"[BF1]按鍵 28 | [BF4]按鈕28"
01D34935,"[BF1]按鍵 29 | [BF4]按鈕29"
01D34936,"[BF1]按鍵 30 | [BF4]按鈕30"
01DC4EF7,"空中砲艇已部署"
01EF36AB,"有更新可供下載，必須安裝本項更新才能使用本遊戲的線上功能。"
01F5FEB0,"[BF1]少校III | [BF4]中尉II"
01FA2727,"晉級"
0217DD48,"[BF1]按鍵 | [BF4]按鈕"
0218006C,"REC"
021B6F06,"各隊爭奪一枚炸彈"
02235ECE,"[BF1]選擇全螢幕時所要使用的顯示器，按「套用影像設定」按鍵啟用。 | [BF4]選擇全螢幕時所要使用的顯示器，按「套用影像設定」按鈕啟用。"
0231A04B,"EA CERT"
023A1FD5,"使用CS-LR4擊殺500人"
023AF0C1,"EA TECH"
023F89D7,"CS-LR4大師狗牌"
0254981D,"小隊死鬥"
02672878,"[BF1]進階 | [BF4]進階選項..."
026F3D67,"連線"
0277CA71,"按住即可進入載具"
02782408,"ASSISTANT PRODUCERS"
029B24DD,"[BF1]在任務中與好友競爭。選擇一項任務並最多邀請四名好友互相競爭。  所有嘗試次數用完後或者是時間結束時分數最高的玩家就是勝利者。 | [BF4]在任務中與好友競爭。選擇一項任務並最多能邀請四名好友一同進行。 時間結束或者是次數完畢後分數最高的玩家就是贏家。"
029B3F66,"[BF1]維克 | [BF4]Victor"
02B1C3AF,"造船廠"
02C8E8EC,"使用Z-11W武裝直升機擊殺500人"
02CE52EE,"Z-11W武裝直升機大師狗牌"
02D3050B,"獲勝回合數較多的隊伍即可贏得比賽"
02D3C9A8,"你自訂的地圖循環。"
02D88859,"代表蒙特內哥羅的狗牌"
02DDF25B,"蒙特內哥羅"
02DDF515,"FACILITIES"
02DE8ADB,"[BF1]5 張資料片 | [BF4]5張資料片"
02DE8ADC,"提前兩週使用權"
02DE8ADD,"獨家個人化功能"
02DE8ADE,"伺服器連線優先權"
02DE8ADF,"每週新內容"
02DE8AE0,"[BF1]12 套獎勵戰鬥包 | [BF4]12套獎勵戰鬥包"
02F4D2AA,"呼叫升降梯"
02FAA05F,"[personaname]加入了伺服器"
03006624,"[BF1]槍口制動器，能減少後座力 | [BF4]槍口水平移動的幅度降低25%以改善穩定性，但自動射擊的準度也會降低30%。"
0319C488,"指揮官滿意度"
0324882F,"在一回合內取得最高直升機擊殺數"
0329B096,"蹲下（按住）"
032B80D0,"LAUNCH READINESS"
035289E3,"[BF1]完成小任務即可解開此狗牌 | [BF4]完成小任務即可解開這種狗牌"
03529C15,"[BF1]NUM / | [BF4]/"
