00044741,"無法連上《戰地風雲》的伺服器，無法取得伺服器資訊。請稍後再試。"
001A0E40,"開始計時"
001DCD10,"高級立方紋狗牌"
003D2913,""
003F6C87,"地圖循環名稱太短"
0045B78D,"逃脫"
004B9C7C,"返回戰區"
00546D0C,""
005864C5,"維護"
00586611,"動態偵測器"
006373E4,"機槍手熱感應"
00653336,"機槍手紅外線夜視鏡"
00689864,"你下次進入部署畫面時，將已選擇工程裝備。"
00690A00,"機槍手動態偵測器"
006C842D,"剎車，按住可倒退"
006E78FC,"機槍手變焦視鏡"
0073C04B,"使用AH-6J小鳥擊殺500人"
00742798,"左撇子"
00792A4D,"AH-6J小鳥大師狗牌"
00835FB8,"代表蒙古的狗牌"
0084544A,"20MM機砲"
0088C9BA,"蒙古"
0089E574,"星爆海軍"
008F3C8C,"離開3D視野"
0090B0E6,"STAGE MANAGER"
00954218," "
009B8620,"愛爾蘭佬：等等。派克？派克在哪裡？媽的沒有他我絕不走。"
009B8621,"帝瑪：快點。快跟我來。快來！"
009B8622,"愛爾蘭佬：別碰我！"
009B8623,"帝瑪：我們走。"
009E2121,"加入小隊"
00A8A882,"友軍砲火"
00A8A8A3,"友軍砲火"
00ADCB6D,"團隊死鬥"
00B4F2BD,"預設"
00B5FC6A,"DICE"
00B7C7A8,"預設"
00B81144,"發射間隔不必再縮小畫面，因此可以快速連續射擊。"
00B998E9,"限載具處於嚴重受創狀態時才能部署。它會撲滅所有火源，讓載具恢復運作，並讓載具開始修復所受損害。"
00BEA1CA,"預設"
00C36BB7,"DICE ADDITIONAL SINGLE-PLAYER MISSION DESIGNERS"
00CC2795,"5.8x21 DAP-92"
00D20AE9,"刺刀"
00D6FB41,"復仇"
00DDF39A,"政宣口號"
00E1378A,"《戰地風雲4：社群行動》"
00E27BF7,"目前遊戲模式下的這張地圖沒有這個據點。"
00E49120,"大規模空中戰鬥。以空中載具佔領並防守目標。"
00E550EE,"我的戰士"
00F19C4D,"愛爾蘭佬：我不信任她。她有事瞞著我們。你盯好她。"
00F19C4E,"派克：繼續加油，動作快。"
00F1C5DD,"降低水位"
00F82F6E,"按兩下部署"
00FD6142,"完成小任務即可解開這種狗牌"
0102CB44,"初級地面載具狗牌"
0106ACCF,"RPK戰鬥包"
0108EC08,"使用AS VAL擊殺500人"
010E560A,"AS VAL大師狗牌"
01118E5A,"星爆都會"
01176587,"代表幾內亞的狗牌"
011CCF89,"幾內亞"
01225289,"AUDIO ENGINEERS"
012C2D14,"代表瑞士的狗牌"
01319716,"瑞士"
01339A37,"Slim Jim青銅戰鬥包"
013D80CA,"目標"
0149DBDA,"醫生：聽我說，目前計劃是去找美國泰坦號會合，然後就能用他們的設施。"
0149DBDB,"醫生：小姐，我會小心看著你丈夫。"
014B80FD,"派克：愛爾蘭佬剛才在找你。他八成在低層載具甲板。"
014B80FE,"派克：你跟他和好了嗎？"
01566636,"控制第一人稱縮放的武器顯示是否會變模糊"
0158821A,"應該就在附近。"
0158821B,"搞什麼？"
0158821C,"這些混蛋是認真的。"
0158821D,"讓我起一堆雞皮疙瘩。開始搜尋目標。瑞克，走吧。"
015EE5C8,"在伺服器上閒置超過此秒數的玩家會被踢出。"
015F6625,"左撇子老手"
0162529E,"小隊長在遊戲中可以向小隊隊員下命令。小隊長也可以接受或請求來自指揮官的命令。欲在遊戲中透過通訊選單下令，請按住："
0163F98F,"愛爾蘭佬：派克！派克！"
0163F990,"愛爾蘭佬：派克，你在哪裡！"
0163F991,"帝瑪：又一個美國人。"
0163F992,"帝瑪：快點跑！不遠了。不遠。"
0163F993,"帝瑪：我們在電梯附近！"
0163F994,"帝瑪：你先。"
0163F995,"帝瑪：中士，打前鋒。"
0163F996,"帝瑪：帶路。"
0163F9AE,"帝瑪：中士，快點。"
0163F9AF,"帝瑪：快點。"
0163F9B0,"愛爾蘭佬：混蛋東西！"
0177CC97,"向左瞄準"
01934DB3,"解放軍數位"
019A66D8,"APP MENU"
019BE7C7,"ADDITIONAL SOFTWARE ENGINEER"
019DAE62,"顯示所有射程內熱源的黑白夜視系統。"
019ED9B0,"VLADIMIR"
019F6DB4,"使近距和中距熱源容易辨別的強化紅外線夜視功能。"
01A3447E,"偵測載具周圍的區域，並顯示敵方在小地圖上的活動。"
01A62E9E,"透過戰鬥包取得"
01A8B37A,"縮放視野以更輕鬆的從遠距索敵並消滅目標。"
01AB98A0,"戰鬥包1狗牌"
01BC400F,"內部渲染解析度，100% = 透過超級取樣來取得更佳的品質。"
01BE8EC8,"專癱瘓輕裝甲和其他飛機的高射速機關砲。"
01CA38BF,"上將V"
01CE3FC8,"EADP SYSTEMS TEST"
01D04C32,"科維特：先完成任務再說。它再兩分鐘就要沉了。"
01D04C4E,"科維特：瑞克，你帶路。"
01D04C4F,"愛爾蘭佬：前方有目標！"
01D3492E,"按鈕22"
01D3492F,"按鈕23"
01D34930,"按鈕24"
01D34931,"按鈕25"
01D34932,"按鈕26"
01D34933,"按鈕27"
01D34934,"按鈕28"
01D34935,"按鈕29"
01D34936,"按鈕30"
01D4EF13,"GP30低射速榴彈"
01D50B0C,"GP30鏢彈"
01D50BB5,"GP30煙霧彈"
01D69D6F,"派克：好。那教我說幾句中文。"
01D69D70,"漢娜：好，我想想。打招呼要說「你好」。"
01D69D71,"派克：泥好。"
01D69D72,"漢娜：泥好。"
01D69D73,"派克：泥好。"
01D69D74,"漢娜：對，說中文語調很重要。"
01D69D75,"派克：「你好」。嘿~兄弟，你應該說說看，說不定能救你一命。"
01D69D76,"派克和愛爾蘭佬：你好。"
01D69D77,"派克：就是這樣。你好。"
01D69D8F,"愛爾蘭佬：好好好。"
01D69D90,"派克：那像「好人」或「跟你同一邊」或「沒敵意」怎麼說？"
01D69D91,"漢娜：嗯……應該說「好人」。"
01D69D92,"派克：什麼？"
01D69D93,"漢娜：好人。"
01D69D94,"派克：這就留給你說好了。"
01D69D95,"漢娜：我可以教你說「謝謝」，這句就很簡單。"
01D69D96,"派克：那句很好用。"
01D69D97,"漢娜：謝謝。"
01D69D98,"派克：謝謝？"
