00014E71,"麥克邁納斯: 成功了！碉堡淨空！"
00014E72,"麥克邁納斯: 那座碉堡完蛋了！"
00044741,"無法連上《戰地風雲》的伺服器，無法取得伺服器資訊。請稍後再試。"
0017E98B,"物品購買失敗。請稍後再試。"
0019DAEA,"這款輕機槍配有腳架和中距瞄具，可提供出色的火力壓制。"
001A0E40,"開始計時"
001B7FCD,"愛德華: 是，長官。我只是做好本份而已。"
0024349B,"這種衍生型裝甲車裝備了可抵禦高爆彈的裝甲，配備有煙霧手榴彈、破片手榴彈和補給箱，使其最適合支援步兵進攻。"
0027C105,"在倫敦的呼喚：夜襲贏得 1 場遊戲"
002CA39B,"刺穿那些混帳東西！"
00367270,"勞倫斯: 這些上古遺跡現在已經成為了鄂圖曼軍的要塞。"
0038FC69,"勤務小任務未解鎖。完成「憤怒之證 」以開始該小任務。"
003A0DE3,"鄂圖曼釘頭錘"
003F6C87,"地圖循環名稱太短"
0045B78D,"逃脫"
004B9C7C,"返回戰區"
004D37A3," EAJ LOCALIZATION TESTING COORDINATORS"
004FF418,"以著名的戰鬥機飛行員，德國空軍的飛行王牌為靈感。"
0066E2F1," VP FINANCE"
00689864,"你下次進入部署畫面時，將會選擇工程兵種。"
006A2CFA,"駕駛員搖桿"
006C842D,"剎車，持續按住可倒退"
0071E37A,"比查特: 來打聲招呼啊，德國佬！"
0073C04B,"使用AH-6J小鳥擊殺500人"
00742798,"左撇子"
00743D75,"Veteran Soldier placeholder description text.VVVVV"
00743D76,"Veteran Guard placeholder description text.VVVVV"
00743D77,"Veteran Infantry placeholder description text.VVVVV"
00743D78,"Veteran Cavalry placeholder description text.VVVVV"
007441B6,"Clipper placeholder description text.VVVVV"
007441B7,"Imp placeholder description text.VVVVV"
007445F7,"The Soldier of Fortune placeholder description text.VVVVV"
00792A4D,"AH-6J小鳥大師狗牌"
007CCD22,"唐森: 帶我們到那座農場裡，駕駛。我軍會推進那裡！"
007F26B9,"綽號「移動堡壘」"
00835FB8,"代表蒙古的狗牌"
0088C9BA,"蒙古"
008DB8B6,"毒氣炸彈"
008F3C8C,"離開 3D 視野"
008F60AF,"小隊："
0090B0E6,"STAGE MANAGER"
00925901,"比查特: 他們會一路看著我們攻進柏林！"
009743E0,"透過升階來賺取戰爭債券。戰爭債券能用來解鎖新武器、配備、載具圖樣以及更多道具。"
009743E1,"特定武器與配備除了需要戰爭債券外，還需要兵種階級才能解鎖。透過以不同兵種遊玩來升級兵種階級。"
009743E2,"你需要啟用勳章才能開始追蹤完成進度。一次僅能啟用一個勳章。"
009743E3,"勳章由數個階段組成，必須照順序完成。每個階段都會獎勵大量積分。"
009743E4,"每週都會發放新的勳章，記得在勳章到期前留意其所剩時間。"
009743E5,"用每款武器、載具等方式擊殺 100 人便能獲得勤務之星。每款勤務之星可獲得 100 次。"
009743E6,"使用近戰武器擊殺敵人來蒐集其狗牌。"
009743E7,"賺取到的狗牌可在狗牌選單中裝備。"
009743E8,"團體行動一起攻下目標。支援其他的小隊隊員。我行我素可無法協助你的隊伍贏下回合。"
00974400,"了解如何使用每種武器：玩家/載具中彈積分活動能讓你知道你的子彈造成多少傷害。"
00974401,"百科條目中包含關於《Battlefield 1》的資訊。這些資訊將助你佔據上風。"
00974402,"完成回合後會獲得對戰獎勵積分。在特定遊戲模式中，就算隊伍落敗也能獲得小額獎勵。"
00974403,"若你或你的小隊在指令區域擊殺敵人，將會獲得指令遵循積分。"
00974404,"跟醫護兵一同組隊來提升存活率。獲得急救能賺取分數。"
00974821,"所有兵種裝備都有某種反坦克武器，但突擊兵種具備最出色的反坦克能力。"
00974822,"K 彈能對所有載具造成傷害。距離夠近時還能對坦克造成傷害。但不建議用來對付步兵。"
00974823,"相比近距離戰鬥來說，多數偵察兵種的武器能在遠距離造成更多傷害。"
00974824,"空氣阻力會減緩子彈的速度，讓超遠距狙擊變得沒有效率。"
00974825,"所有步兵裝備都適合用於與其他步兵戰鬥，差別在於戰鬥的距離。如何找出最適合對付步兵的方式，全取決於你和敵方的裝備。"
00974826,"遇敵信號彈會在你和隊友的地圖上標記出附近的敵軍單位。"
00974827,"使用刺刀會延長衝刺後使用武器射擊所需的時間。"
00974828,"原廠與步兵武器在後座力與偏移回復等未顯示於武器比較的數值上有間接加成。"
00974829,"輕機槍在射出第一發後便會變得很不準確，要射擊一段時間後才會回復準度，這表示它們非常適合用於提供持續火力。"
00974841,"衝鋒槍最好使用短促的點射。"
00974842,"若射擊太過急促，半自動步槍會變得不準確。"
00974843,"臥倒、從掩體後探頭以及站在掩體後時會自動啟用腳架。"
00974844,"多數武器都能讓你自訂其後座力偏差。這對武器的效能並沒有任何影響，只會影響你對它的操控。"
00974C62,"所有子彈都能對飛機造成損傷。"
00974C63,"載具受到傷害時，自我修復便會中斷。這代表小小的損傷也能立下大功。"
009750A3,"你拿著裝有刺刀的武器衝刺時，可以輕碰近戰按鍵來進入強大的刺刀衝鋒狀態。"
009750A4,"刺刀衝鋒期間，你的衝刺速度會變快，並且能承受更多傷害，然而你的轉向靈敏度也會相應降低。"
009750A5,"若你在刺刀衝鋒期間未擊殺任何人，在冷卻狀態下你的跑動與衝刺速度會降低。"
009750A6,"刺刀衝鋒後會有一小段冷卻時間，在這當中你無法再次進行刺刀衝鋒。"
009750A7,"對付刺刀衝鋒，其中一個有效且危險的反擊方式便是用刺刀衝鋒還以顏色！當兩個衝鋒者相撞時，較晚發動衝鋒的玩家會獲勝。"
009750A8,"刀具是速度最快的近戰武器，有著最廣的擊殺範圍，但每次揮舞時所造成的傷害也最小。"
009750A9,"若你以近戰武器攻擊，且位於擊殺範圍中，你便會自動執行擊殺。"
009750AA,"近戰武器依攻擊速度、傷害以及擊殺範圍大小不同，而分為不同類別。"
009750AB,"棍棒擁有中等的攻擊速度、能造成中等傷害，並且還有中等大小的擊殺範圍。"
009750C3,"手斧能造成巨量傷害，然而其揮舞速度緩慢，擊殺範圍也很小。"
009750C4,"近戰擊殺範圍以扇形延伸而出，並且位於敵方所瞄準的相反方向。"
009750C5,"若你的下一記近戰攻擊能殺掉你的對手，你便會自動執行擊殺，而非一般近戰武器揮舞。"
009750C6,"許多近戰武器在戰場上都有其他功用，例如剪除鐵絲網、摧毀路障，甚至是損傷輕型載具。"
009750C7,"當你使用近戰攻擊打中對手時，你將能在短時間內追蹤該玩家，協助你接近擊殺。"
009750C8,"若你在啟用後立刻停止衝刺，你只會進行簡短的刺刀衝鋒。持續衝刺來進行更長的刺刀衝鋒。"
009754E4,"在馬背上使用騎兵軍刀攻擊來立刻擊殺敵方士兵。"
009754E5,"在馬匹上衝刺會讓你自動前傾，讓可以射擊的目標變小。"
009754E6,"你可以從馬鞍袋中丟下彈藥與繃帶，用以協助你的隊友。"
009754E7,"若你以騎兵兵種重生在馬背上，你將能獲得騎士的裝甲增益。"
009754E8,"騎乘馬匹時，你能使用無盡的彈藥與手榴彈，然而馬匹補充的時間很慢。"
009754E9,"若你擊殺了敵方騎士，你可以偷取其馬匹，只要待在馬上，你可以使用所有騎兵武器。"
009754EA,"利用馬匹的高速來攻敵不備，並將敵方士兵踩踏至死。"
00975925,"守住多數旗幟來贏得這場對戰。"
00975926,"記得要防守你的旗幟！"
00975927,"佔領特定旗幟能為你的隊伍帶來額外載具。"
00975928,"佔領區中有越多隊友，佔領旗幟的速度就越快。"
00975929,"使用定點防空砲來與飛機及強大的飛船戰鬥。"
0097592A,"野戰砲對敵方載具與敵方所在的建築有摧枯拉朽的奇效。"
0097592B,"利用毒氣手榴彈在突襲中獲得優勢，或者將其當作區域阻絕武器使用。使用它們來獲得對付防守方的優勢。"
0097592C,"對隊友提供急救將能恢復失去的增援數量。"
0097592D,"你必須按下動作鍵來放出信鴿！"
00975945,"身為防守方，你可以使用電報來呼叫砲擊轟炸發現的敵方士兵！"
00975946,"你以信鴿送出訊息後，被發現的敵人便會受到砲擊轟炸。"
00975947,"在撰寫訊息時站住不動能讓撰寫速度加快！"
00975948,"撰寫訊息時記得找個良好的防禦位置！"
00975949,"隨時保護好我方的信鴿傳遞員！"
0097594A,"運輸載具能在你的總部與所佔領旗幟附近找到。"
0097594B,"找出敵人、殺掉敵人，然後重複以上過程。團隊死鬥中殺戮就是一切！"
0097594C,"精英兵種可在地圖上找到並拾取。"
0097594D,"區域淪陷後，殺掉區域中剩下的敵人會將失去的兵力值退還給攻擊方。"
0097594E,"若你身在防守方，並且在區域淪陷時成功撤退，您將會獲得全滿的彈藥與生命值。"
00975966,"若你的隊伍處於劣勢，機械巨獸便會加入你們這方。"
00975967,"隨著天氣變化，你也必須改變你的遊戲風格。"
00975968,"利用全新的可毀滅地形功能，以彈坑作為掩護。"
00975969,"不得其門而入嗎？在可毀滅環境中，自己開出一個門就好了！"
0097596A,"堅守佔領的旗幟，是攻擊方取得勝利的關鍵！"
0097596B,"身為攻擊方，你必須佔領並守住所有區域內的旗幟，才能讓該區域失陷。"
0097596C,"你可以重生在你所擁有的旗幟處。"
0097596D,"為了安全起見，你將不會重生於有敵人接近的旗幟附近。"
009AD0B0,"麥克邁納斯: 聖母啊！"
009AE91A,"殺傷區域"
009B4F9A,"你在搞什麼鬼啊！？"
00A4EA3C,"用 Model 1900 進行 10 次擊殺"
00A672E7,"忽略急救"
00A8A882,"友軍砲火"
00A8A8A3,"友軍砲火"
00ADCB6D,"團隊死鬥"
00B0D346,"在 {1:s} 加入了 {0:s}"
00B24779,"毒氣噴射器"
00B24D3A,"重機槍"
00B25E3E,"輕機槍"
00B27289,"速射型 4 英吋火砲"
00C25591,"唐森: 看起來像是個大型補給點。我們只能突破過去了。"
00C36BB7,"DICE ADDITIONAL SINGLE-PLAYER MISSION DESIGNERS"
00C5DF65,"比查特: 機槍在這裡！"
00C7B154,"停用回合前就緒階段"
00CC2795,"5.8x21mm DAP-92"
00CC9E5E,"用 Howell 自動步槍進行 20 次擊殺"
00D6FB41,"復仇"
00D7027D,"調整迷你地圖指南針的可見度。"
00E27BF7,"目前遊戲模式下的這張地圖沒有這個據點。"
00E4EDF6,"濾鏡可見度"
00E550EE,"我的戰士"
00E55536,"別讓他們通過！"
00E9590A,"比查特: 我們完成了！"
00F5CA39,"又有麻煩了！小心那些轟炸機！"
00F82F6E,"按兩下部署"
00FD6142,"完成小任務即可解開此狗牌"
0102CB44,"初級地面載具狗牌"
0104E243,"維拉·佩羅薩衝鋒槍"
0106ACCF,"RPK-74M戰鬥包"
010B429F,"在敵方載具跨越時引爆且造成大量傷害的反坦克地雷。放置時必須隔開適當距離。"
01113D44,"用 MP18 擊殺 100 人的獎勵。"
0116A746,"MP18 背面"
01176587,"代表幾內亞的狗牌"
011B78E5,"麥克邁納斯: 愛德華！快點行動啊！"
011CCF89,"幾內亞"
01225289,"AUDIO ENGINEERS"
0122B108,"裝備有杯式發射器的步槍。能在遠距離間接發射反坦克手榴彈。"
01231370,"死亡山谷"
01257B0C,"6 枚爆裂火箭"
0128482C,"繃帶包"
012B6CC3,"自動"
012C2D14,"代表瑞士的狗牌"
012C6D1E,"調整命中標示的可見度。"
013074C7,"小隊於載具中重生"
0130A107,"玩家資訊面板大小可見度"
01319716,"瑞士"
0132AC44,"科威特"
01339A37,"Slim Jim青銅戰鬥包"
013D80CA,"目標"
0147B42E,"還有哪些被塵封的秘密？"
014D1E30,"密室"
01566636,"控制第一人稱縮放的武器顯示是否會變模糊"
015EE5C8,"在伺服器上閒置超過此秒數的玩家會被踢出。"
015F6625,"左撇子替代配置"
0162529E,"小隊長在遊戲中可以向小隊隊員下命令。小隊長也可以接受或請求來自指揮官的命令。欲在遊戲中透過快速訊息下令，請按住："
0170101C,"完成 6 個條件中的 5 個以獲得獎勵"
0174C3D3,"調查墜毀的飛機"
01757A1E,"掩護射擊"
01778F91,"圖示可見度"
0177CC97,"向左瞄準"
01817CAF," EAUK QA"
018657F5,"沼澤登陸點"
018AEEE3,"隧道入口"
018EC8E9,"麥克邁納斯: 你要錯過大場面了，芬奇！"
018F28CA,"唐森: 愛德華。你來了啊，兄弟。"
018F9C07,"勞倫斯: 鄂圖曼軍隊不知道這些地點會受到攻擊，但他們仍可能保持警覺，時時注意入侵者的到來。"
0197A34E,"威爾森: 媽的……布萊克本……啊……"
0199EFFA,"費德洛夫自動步槍（衝鋒）"
019A66D8,"APP MENU"
019BE7C7,"ADDITIONAL SOFTWARE ENGINEER"
019ED9B0,"VLADIMIR"
01A12196,"愛德華: 他們動不了了！他們是甕中之鱉了！"
01A558F6,"Howell 自動步槍（原廠）小任務"
01A5B159,"唐森: 往前衝。我們必須敲掉後方的火砲陣地。"
01A5B15A,"唐森: 快點！向前衝！"
01A5B15B,"唐森: 快點！我們必須幹掉後方的火砲陣地。"
01A5B15C,"唐森: 愛德華帶我們到那個火砲那邊！"
01A5B15D,"唐森: 愛德華帶我們衝進去！"
01A5B15E,"唐森: 就是這裡！火砲就在前方！"
01A62E9E,"透過戰鬥包取得"
01A8AFDC,"SchnucK"
01A8AFDD,"奧汀"
01A8AFDE,"Baden I"
